Player,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos,3P%,2P%,FT%,FG%,eFG%,Component 1,Component 2,Dimension 1,Dimension 2
Aaron Gordon\gordoaa01,0.1785036080516521,0.39726547664261297,0.04595518420053171,0.131788834029624,0.1325484238511204,0.265476642612989,0.07026205848841625,0.09608811241929358,0.04899354348651728,0.16900873528294721,0.21800227876946449,0.10976072920622863,0.02164830991264717,0.021268515001898976,0.06152677554120775,0.06532472464868971,0.47322445879225217,PF,0.34870317002881845,0.49928469241773965,0.7312252964426877,0.44933078393881454,0.8712765957446809,0.32510092277834035,-0.3254530351014517,2.2611246,-14.705114
Aaron Holiday\holidaa01,0.16253869969040247,0.4055727554179567,0.06656346749226007,0.19659442724458204,0.09597523219814241,0.2089783281733746,0.06346749226006192,0.07739938080495357,0.007739938080495356,0.09597523219814241,0.10371517027863777,0.1346749226006192,0.032507739938080496,0.020123839009287926,0.06191950464396285,0.10990712074303406,0.4551083591331269,PG,0.33858267716535434,0.45925925925925926,0.82,0.40076335877862596,0.7952380952380952,-0.24574386663140005,-0.8259605541503039,5.227503,-6.9290037
Abdel Nader\naderab01,0.13112391930835735,0.30979827089337175,0.04610951008645533,0.1440922190201729,0.08501440922190202,0.16570605187319884,0.03890489913544669,0.05187319884726225,0.020172910662824207,0.14697406340057637,0.16714697406340057,0.02881844380403458,0.02881844380403458,0.01729106628242075,0.037463976945244955,0.09798270893371758,0.3472622478386167,SF,0.32,0.5130434782608696,0.75,0.4232558139534884,0.8241758241758241,-0.48386486353651886,0.13941531072781618,4.405324,7.225816
Al Horford\horfoal01,0.19614799797263052,0.36644703497212366,0.036999493157627975,0.10288900152052712,0.15914850481500253,0.26355803345159656,0.039533705017739486,0.0481500253421186,0.060821084642676125,0.17131272174353776,0.2321338063862139,0.1434363912823112,0.029903699949315764,0.04358844399391789,0.051697921946274705,0.06386213887480993,0.4688291941206285,C,0.35960591133004927,0.6038461538461538,0.8210526315789474,0.5352697095435685,0.9056847545219638,0.5360409479140066,-0.08081811807118928,1.0766903,-16.994833
Al-Farouq Aminu\aminual01,0.11212914485165794,0.2587260034904014,0.041884816753926704,0.12216404886561955,0.07024432809773123,0.13656195462478185,0.06544502617801047,0.07547993019197208,0.04886561954624782,0.21727748691099477,0.2661431064572426,0.04537521815008726,0.029668411867364748,0.014397905759162303,0.031413612565445025,0.062390924956369984,0.33158813263525305,PF,0.34285714285714286,0.5143769968051118,0.8670520231213873,0.433389544688027,0.8132295719844358,-0.355324687262267,0.38639458210898175,2.686994,11.608261
Alan Williams\willial03,0.3076923076923077,0.5,0.0,0.038461538461538464,0.3076923076923077,0.46153846153846156,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.5769230769230769,0.7307692307692307,0.11538461538461539,0.038461538461538464,0.0,0.038461538461538464,0.07692307692307693,0.6923076923076923,PF,0.0,0.6666666666666666,0.5,0.6153846153846154,1.0,2.9084241961820023,1.3505678043449965,-17.498255,-3.506229
Alec Burks\burksal01,0.13963636363636364,0.3447272727272727,0.04436363636363636,0.12218181818181818,0.09527272727272727,0.22254545454545455,0.08436363636363636,0.10254545454545455,0.02181818181818182,0.14909090909090908,0.1709090909090909,0.09309090909090909,0.028363636363636365,0.015272727272727273,0.04727272727272727,0.06618181818181817,0.408,SG,0.3630952380952381,0.42810457516339867,0.8226950354609929,0.4050632911392405,0.8411458333333334,-0.1454593981454515,-0.29420212125970885,8.073733,-6.8543005
Alex Caruso\carusal01,0.14500941619585686,0.3258003766478343,0.04519774011299435,0.09416195856873823,0.09981167608286252,0.23163841807909605,0.096045197740113,0.12052730696798493,0.03766478342749529,0.08851224105461393,0.12617702448210924,0.14500941619585686,0.04519774011299435,0.01694915254237288,0.07909604519774012,0.1016949152542373,0.4312617702448211,PG,0.48,0.43089430894308944,0.796875,0.44508670520231214,0.8441558441558441,0.035967835792079045,-0.5224517714545662,-0.35836837,-5.126411
Alex Len\lenal01,0.20725388601036268,0.41968911917098445,0.04792746113989637,0.13212435233160622,0.15932642487046633,0.28756476683937826,0.09067357512953368,0.13989637305699482,0.10233160621761658,0.172279792746114,0.27461139896373055,0.05569948186528497,0.017487046632124352,0.044689119170984455,0.06282383419689119,0.12953367875647667,0.5531088082901554,C,0.3627450980392157,0.5540540540540541,0.6481481481481481,0.49382716049382713,0.884375,0.9484135623509219,0.04218427085170185,-11.000471,-2.889281
Alex Poythress\poythal01,0.13114754098360656,0.26557377049180325,0.029508196721311476,0.07540983606557378,0.10163934426229508,0.1901639344262295,0.05901639344262295,0.09508196721311475,0.09508196721311475,0.1540983606557377,0.24918032786885247,0.05573770491803279,0.013114754098360656,0.03278688524590164,0.04262295081967213,0.1540983606557377,0.35081967213114756,PF,0.391304347826087,0.5344827586206896,0.6206896551724138,0.49382716049382713,0.8875,0.12158777547604428,0.8248103394272859,-5.7336164,7.4642034
Alfonzo McKinnie\mckinal01,0.13359920239282153,0.2741774675972084,0.04187437686939183,0.11764705882352941,0.09172482552342971,0.15653040877367896,0.026919242273180457,0.047856430707876374,0.08075772681954138,0.16550348953140578,0.24626121635094717,0.03090727816550349,0.01794616151545364,0.014955134596211365,0.02991026919242273,0.13359920239282153,0.33599202392821537,SF,0.3559322033898305,0.5859872611464968,0.5625,0.48727272727272725,0.8432835820895522,-0.2650233306243874,0.6750147021982501,2.0292332,9.276109
Alize Johnson\johnsal02,0.0625,0.25,0.015625,0.03125,0.046875,0.21875,0.0625,0.125,0.0625,0.234375,0.296875,0.015625,0.015625,0.046875,0.0,0.109375,0.203125,PF,0.5,0.21428571428571427,0.5,0.25,0.875,-0.6148031269516772,1.4390768057959433,1.3313179,13.421435
Allen Crabbe\crabbal01,0.1209179170344219,0.3292144748455428,0.08649602824360106,0.22859664607237423,0.03442188879082083,0.10061782877316858,0.03618711385701677,0.04942630185348632,0.01412180052956752,0.11650485436893204,0.13062665489849956,0.04060017652250662,0.02030008826125331,0.01147396293027361,0.04060017652250662,0.09002647837599294,0.3645189761694616,SG,0.3783783783783784,0.34210526315789475,0.7321428571428571,0.3672922252010724,0.6423357664233577,-1.1923908343776128,-0.5206813015757272,15.629214,2.8657525
